2026-07-20 06:27:13 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:27:28 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:27:43 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:27:58 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:28:13 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:28:29 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'HOMEUSDT', 'level': 0.00744256, 'event': 'bounce', 'fill_depth': 0.0}
2026-07-20 06:28:29 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:29:02 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 4, 'new': 0}
2026-07-20 06:29:24 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'USUSDT'}
2026-07-20 06:29:24 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'USUSDT', 'health': 40, 'broken': 0, 'correction': '91%'}
2026-07-20 06:30:00 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:30:15 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:30:30 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:30:45 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:31:01 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 6, 'block_threshold': 4}
2026-07-20 06:31:16 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:31:31 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:31:36 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'TLMUSDT', 'level': 0.00211366, 'event': 'zakol', 'fill_depth': 1.3086305271424763}
2026-07-20 06:31:46 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:32:01 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:32:17 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:32:32 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:32:37 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'HOMEUSDT', 'level': 0.00744256, 'event': 'bounce', 'fill_depth': 0.03439676670392368}
2026-07-20 06:32:47 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:33:02 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:33:17 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:33:32 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:33:54 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'USUSDT', 'level': 0.042894, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.82}
