2026-07-24 15:12:27 | INFO | trading.strategy2_signal_filter:check:988 | S2 signal passed all filters | {'symbol': 'SOXSUSDT', 'level': 49.3675, 'level_type': 'body_level', 'strength': 5, 'p_bounce': 0.923, 'sl': 48.66910036, 'tp1': 49.9105425, 'tp2': 50.92107143, 'rr': 0.78, 'phase': 'unknown', 'pos_struct_pct': 71.8, 'pos_local_pct': 41.7, 'struct_range': [43.39, 51.71], 'approach_speed_pct': -0.9881, 'red_candles_streak': 3, 'phase_streak_checks': 29, 'phase_streak_seconds': 502.8, 'bleed_in_last_12': 0, 'seconds_since_bleed': None, 'phase_seq': 'uuuuuuuuuuuu', 'hours_since_pump_peak': 0.5, 'vol_decay': 1.0, 'natr_now_pct': 3.29, 'natr_1m': 0.714, 'natr_5m': 1.796, 'natr_15m': 2.545, 'candle_staleness_sec': 27.7, 'bot_version': '2026-07-18.1'}
2026-07-24 15:12:28 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 1, 'price': 49.56, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=49.56 qty=2.01'}
2026-07-24 15:12:28 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 2, 'price': 48.82, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=48.82 qty=2.04'}
2026-07-24 15:12:28 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'SOXSUSDT', 'phase': 'unknown', 'note': 'unknown:range=8.1%,dir_eff=0.06'}
2026-07-24 15:12:28 | INFO | trading.strategy2_signal_filter:check:988 | S2 signal passed all filters | {'symbol': 'SOXSUSDT', 'level': 49.3675, 'level_type': 'body_level', 'strength': 5, 'p_bounce': 0.923, 'sl': 48.64552893, 'tp1': 49.9105425, 'tp2': 51.15678571, 'rr': 0.75, 'phase': 'unknown', 'pos_struct_pct': 71.8, 'pos_local_pct': 41.7, 'struct_range': [43.39, 51.71], 'approach_speed_pct': -0.9881, 'red_candles_streak': 3, 'phase_streak_checks': 30, 'phase_streak_seconds': 503.7, 'bleed_in_last_12': 0, 'seconds_since_bleed': None, 'phase_seq': 'uuuuuuuuuuuu', 'hours_since_pump_peak': 0.5, 'vol_decay': 1.0, 'natr_now_pct': 3.29, 'natr_1m': 0.714, 'natr_5m': 1.796, 'natr_15m': 2.545, 'candle_staleness_sec': 28.6, 'bot_version': '2026-07-18.1'}
2026-07-24 15:12:29 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 1, 'price': 49.56, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=49.56 qty=2.01'}
2026-07-24 15:12:29 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 2, 'price': 48.82, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=48.82 qty=2.04'}
2026-07-24 15:12:32 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'SOXSUSDT', 'phase': 'unknown', 'note': 'unknown:range=8.1%,dir_eff=0.06'}
2026-07-24 15:12:32 | INFO | trading.strategy2_signal_filter:check:988 | S2 signal passed all filters | {'symbol': 'SOXSUSDT', 'level': 49.3675, 'level_type': 'body_level', 'strength': 5, 'p_bounce': 0.923, 'sl': 48.66910036, 'tp1': 49.9105425, 'tp2': 50.92107143, 'rr': 0.78, 'phase': 'unknown', 'pos_struct_pct': 71.8, 'pos_local_pct': 41.7, 'struct_range': [43.39, 51.71], 'approach_speed_pct': -0.9881, 'red_candles_streak': 3, 'phase_streak_checks': 31, 'phase_streak_seconds': 507.9, 'bleed_in_last_12': 0, 'seconds_since_bleed': None, 'phase_seq': 'uuuuuuuuuuuu', 'hours_since_pump_peak': 0.5, 'vol_decay': 1.0, 'natr_now_pct': 3.29, 'natr_1m': 0.714, 'natr_5m': 1.796, 'natr_15m': 2.545, 'candle_staleness_sec': 32.8, 'bot_version': '2026-07-18.1'}
2026-07-24 15:12:33 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 1, 'price': 49.56, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=49.56 qty=2.01'}
2026-07-24 15:12:33 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 2, 'price': 48.82, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=48.82 qty=2.04'}
2026-07-24 15:12:37 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'SOXSUSDT', 'phase': 'unknown', 'note': 'unknown:range=8.1%,dir_eff=0.08'}
2026-07-24 15:12:37 | INFO | trading.strategy2_signal_filter:check:988 | S2 signal passed all filters | {'symbol': 'SOXSUSDT', 'level': 49.3675, 'level_type': 'body_level', 'strength': 5, 'p_bounce': 0.923, 'sl': 48.66910036, 'tp1': 49.9105425, 'tp2': 50.92107143, 'rr': 0.78, 'phase': 'unknown', 'pos_struct_pct': 71.8, 'pos_local_pct': 41.7, 'struct_range': [43.39, 51.71], 'approach_speed_pct': -0.7115, 'red_candles_streak': 3, 'phase_streak_checks': 32, 'phase_streak_seconds': 513.1, 'bleed_in_last_12': 0, 'seconds_since_bleed': None, 'phase_seq': 'uuuuuuuuuuuu', 'hours_since_pump_peak': 0.5, 'vol_decay': 1.0, 'natr_now_pct': 3.29, 'natr_1m': 0.717, 'natr_5m': 1.794, 'natr_15m': 2.544, 'candle_staleness_sec': 37.9, 'bot_version': '2026-07-18.1'}
2026-07-24 15:12:38 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 1, 'price': 49.56, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=49.56 qty=2.01'}
2026-07-24 15:12:38 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 2, 'price': 48.82, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=48.82 qty=2.04'}
2026-07-24 15:12:43 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'SOXSUSDT', 'phase': 'unknown', 'note': 'unknown:range=8.1%,dir_eff=0.08'}
2026-07-24 15:12:43 | INFO | trading.strategy2_signal_filter:check:988 | S2 signal passed all filters | {'symbol': 'SOXSUSDT', 'level': 49.3675, 'level_type': 'body_level', 'strength': 5, 'p_bounce': 0.923, 'sl': 48.66910036, 'tp1': 49.9105425, 'tp2': 50.92107143, 'rr': 0.78, 'phase': 'unknown', 'pos_struct_pct': 71.8, 'pos_local_pct': 41.7, 'struct_range': [43.39, 51.71], 'approach_speed_pct': -0.7115, 'red_candles_streak': 3, 'phase_streak_checks': 33, 'phase_streak_seconds': 518.2, 'bleed_in_last_12': 0, 'seconds_since_bleed': None, 'phase_seq': 'uuuuuuuuuuuu', 'hours_since_pump_peak': 0.5, 'vol_decay': 1.0, 'natr_now_pct': 3.29, 'natr_1m': 0.717, 'natr_5m': 1.794, 'natr_15m': 2.544, 'candle_staleness_sec': 43.1, 'bot_version': '2026-07-18.1'}
2026-07-24 15:12:43 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 1, 'price': 49.56, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=49.56 qty=2.01'}
2026-07-24 15:12:44 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 2, 'price': 48.82, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=48.82 qty=2.04'}
2026-07-24 15:12:44 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'SOXSUSDT', 'phase': 'unknown', 'note': 'unknown:range=8.1%,dir_eff=0.08'}
2026-07-24 15:12:44 | INFO | trading.strategy2_signal_filter:check:988 | S2 signal passed all filters | {'symbol': 'SOXSUSDT', 'level': 49.3675, 'level_type': 'body_level', 'strength': 5, 'p_bounce': 0.923, 'sl': 48.6444575, 'tp1': 49.9105425, 'tp2': 51.1675, 'rr': 0.75, 'phase': 'unknown', 'pos_struct_pct': 71.8, 'pos_local_pct': 41.7, 'struct_range': [43.39, 51.71], 'approach_speed_pct': -0.7115, 'red_candles_streak': 3, 'phase_streak_checks': 34, 'phase_streak_seconds': 519.4, 'bleed_in_last_12': 0, 'seconds_since_bleed': None, 'phase_seq': 'uuuuuuuuuuuu', 'hours_since_pump_peak': 0.5, 'vol_decay': 1.0, 'natr_now_pct': 3.29, 'natr_1m': 0.717, 'natr_5m': 1.794, 'natr_15m': 2.544, 'candle_staleness_sec': 44.3, 'bot_version': '2026-07-18.1'}
2026-07-24 15:12:44 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 1, 'price': 49.56, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=49.56 qty=2.01'}
2026-07-24 15:12:45 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 2, 'price': 48.82, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=48.82 qty=2.04'}
2026-07-24 15:12:48 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'SOXSUSDT', 'phase': 'unknown', 'note': 'unknown:range=8.1%,dir_eff=0.08'}
2026-07-24 15:12:48 | INFO | trading.strategy2_signal_filter:check:988 | S2 signal passed all filters | {'symbol': 'SOXSUSDT', 'level': 49.3675, 'level_type': 'body_level', 'strength': 5, 'p_bounce': 0.923, 'sl': 48.66910036, 'tp1': 49.9105425, 'tp2': 50.92107143, 'rr': 0.78, 'phase': 'unknown', 'pos_struct_pct': 71.8, 'pos_local_pct': 41.7, 'struct_range': [43.39, 51.71], 'approach_speed_pct': -0.7115, 'red_candles_streak': 3, 'phase_streak_checks': 35, 'phase_streak_seconds': 523.3, 'bleed_in_last_12': 0, 'seconds_since_bleed': None, 'phase_seq': 'uuuuuuuuuuuu', 'hours_since_pump_peak': 0.5, 'vol_decay': 1.0, 'natr_now_pct': 3.29, 'natr_1m': 0.717, 'natr_5m': 1.794, 'natr_15m': 2.544, 'candle_staleness_sec': 48.2, 'bot_version': '2026-07-18.1'}
2026-07-24 15:12:48 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 1, 'price': 49.56, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=49.56 qty=2.01'}
2026-07-24 15:12:49 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 2, 'price': 48.82, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=48.82 qty=2.04'}
2026-07-24 15:12:53 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'SOXSUSDT', 'phase': 'unknown', 'note': 'unknown:range=8.1%,dir_eff=0.08'}
